"","Date","mean","sum_com","week_day","week_day_add","day_to_pred"
"148",2021-06-19,0.436805555555556,24,"Samstag",3,2021-06-22
"149",2021-06-20,0.482755368814192,105,"Sonntag",2,2021-06-22
"150",2021-06-21,0.465096132349654,142,"Montag",2,2021-06-23
"151",2021-06-22,0.194850679048047,117,"Dienstag",2,2021-06-24
"152",2021-06-23,0.178270694298092,73,"Mittwoch",2,2021-06-25
"153",2021-06-24,0.0306910037031016,138,"Donnerstag",4,2021-06-28
"154",2021-06-25,0.456260802818792,194,"Freitag",4,2021-06-29
"155",2021-06-26,0.258564814814815,33,"Samstag",3,2021-06-29
"156",2021-06-27,0.369965052308802,80,"Sonntag",2,2021-06-29
"157",2021-06-28,0.158189468139208,79,"Montag",2,2021-06-30
"158",2021-06-29,-0.127209101382488,93,"Dienstag",2,2021-07-01
"159",2021-06-30,0.492437169312169,84,"Mittwoch",2,2021-07-02
