"","Date","mean","sum_com","week_day","week_day_add","day_to_pred"
"78",2021-04-05,0.177586354617605,168,"Montag",0,2021-04-05
"79",2021-04-06,0.0502431548309659,91,"Dienstag",0,2021-04-06
"80",2021-04-07,0.316078960539018,118,"Mittwoch",0,2021-04-07
"81",2021-04-08,0.194245709248612,102,"Donnerstag",0,2021-04-08
"82",2021-04-09,-0.174265873015873,131,"Freitag",0,2021-04-09
"83",2021-04-14,-0.0664124204432175,138,"Mittwoch",0,2021-04-14
"84",2021-04-15,-0.163652728635314,133,"Donnerstag",0,2021-04-15
"85",2021-04-16,0.124415983051765,108,"Freitag",0,2021-04-16
"86",2021-04-17,0.114026421109754,117,"Samstag",2,2021-04-19
"87",2021-04-18,0.0634949867032817,136,"Sonntag",1,2021-04-19
"88",2021-04-19,0.164134151112025,109,"Montag",0,2021-04-19
"89",2021-04-20,0.989642857142857,60,"Dienstag",0,2021-04-20
"90",2021-04-21,0.0875,7,"Mittwoch",0,2021-04-21
"91",2021-04-22,0.443638418079096,59,"Donnerstag",0,2021-04-22
"92",2021-04-23,-0.0738425519461516,67,"Freitag",0,2021-04-23
"93",2021-04-24,0.289095449500555,53,"Samstag",2,2021-04-26
"94",2021-04-25,0.358680555555556,16,"Sonntag",1,2021-04-26
"95",2021-04-26,0.134522907647908,66,"Montag",0,2021-04-26
"96",2021-04-27,0.588537215099715,117,"Dienstag",0,2021-04-27
"97",2021-04-28,0.324778466483012,33,"Mittwoch",0,2021-04-28
"98",2021-04-29,0.162115773536228,66,"Donnerstag",0,2021-04-29
"99",2021-04-30,0.30411113708986,94,"Freitag",0,2021-04-30
"100",2021-05-01,0.336260874542125,42,"Samstag",2,2021-05-03
"101",2021-05-02,-0.128202160493827,27,"Sonntag",1,2021-05-03
"102",2021-05-03,0.15859593837535,51,"Montag",0,2021-05-03
"103",2021-05-04,0.189220848595849,64,"Dienstag",0,2021-05-04
"104",2021-05-05,0.125253635070305,239,"Mittwoch",0,2021-05-05
"105",2021-05-06,-0.0657410142558364,308,"Donnerstag",0,2021-05-06
"106",2021-05-07,0.204512028769841,60,"Freitag",0,2021-05-07
"107",2021-05-08,0.350184435219871,83,"Samstag",2,2021-05-10
"108",2021-05-09,0,6,"Sonntag",1,2021-05-10
"109",2021-05-10,0.313202348690154,82,"Montag",0,2021-05-10
"110",2021-05-11,0.707087808807734,112,"Dienstag",0,2021-05-11
"111",2021-05-12,0.00793489190548014,34,"Mittwoch",0,2021-05-12
"112",2021-05-13,0.208345034845035,74,"Donnerstag",0,2021-05-13
"113",2021-05-14,0.277952074461221,82,"Freitag",0,2021-05-14
"114",2021-05-16,1.16755411255411,33,"Sonntag",1,2021-05-17
"115",2021-05-17,-0.1484375,56,"Montag",0,2021-05-17
"116",2021-05-18,0.166666666666667,12,"Dienstag",0,2021-05-18
"117",2021-05-19,0.577822775176255,78,"Mittwoch",0,2021-05-19
"118",2021-05-20,0.180642670368698,73,"Donnerstag",0,2021-05-20
"119",2021-05-21,0.80897674059762,39,"Freitag",0,2021-05-21
"120",2021-05-22,-0.371527777777778,12,"Samstag",2,2021-05-24
"121",2021-05-23,0.921428571428571,9,"Sonntag",1,2021-05-24
"122",2021-05-24,0.216666666666667,6,"Montag",0,2021-05-24
"123",2021-05-25,-0.0130628315649867,58,"Dienstag",0,2021-05-25
"124",2021-05-26,0.254330755569347,173,"Mittwoch",0,2021-05-26
"125",2021-05-27,-0.029258795822561,169,"Donnerstag",0,2021-05-27
"126",2021-05-28,0.0043291046156158,116,"Freitag",0,2021-05-28
"127",2021-05-29,-0.0288966831497319,164,"Samstag",2,2021-05-31
"128",2021-05-30,0.345235391079509,125,"Sonntag",1,2021-05-31
"129",2021-05-31,-0.0355172413793104,29,"Montag",0,2021-05-31
