Date,Close.x,lag,gme_change,Close.y,lag1,lag2,lag3,sp_change
2020-12-31,18.84,NA,NA,3756.07,3700.65,3726.86,3748.14,0.014975747503816916
2021-01-04,17.25,18.84,-0.08439490445859872,3700.65,3726.86,3748.14,3803.79,-0.007032729965708407
2021-01-05,17.370001,17.25,0.006956579710144839,3726.86,3748.14,3803.79,3824.68,-0.005677482698084849
2021-01-06,18.360001,17.370001,0.05699481537162848,3748.14,3803.79,3824.68,3799.61,-0.014630145197290095
2021-01-07,18.08,18.360001,-0.015250598297897813,3803.79,3824.68,3799.61,3801.19,-0.005461894851333935
2021-01-08,17.690001,18.08,-0.021570741150442455,3824.68,3799.61,3801.19,3809.84,0.006598045588889309
2021-01-11,19.940001,17.690001,0.12719049591913534,3799.61,3801.19,3809.84,3795.54,-4.1565930669078033e-4
2021-01-12,19.950001,19.940001,5.015044883900238e-4,3801.19,3809.84,3795.54,3768.25,-0.002270436553766061
2021-01-13,31.4,19.950001,0.5739347581987589,3809.84,3795.54,3768.25,3798.9100000000003,0.0037675798437113513
2021-01-14,39.91,31.4,0.2710191082802547,3795.54,3768.25,3798.9100000000003,3851.8500000000004,0.00724208850262057
2021-01-15,35.5,39.91,-0.11049862189927329,3768.25,3798.9100000000003,3851.8500000000004,3853.07,-0.008070736079559744
2021-01-19,39.360001,35.5,0.10873242253521118,3798.9100000000003,3851.8500000000004,3853.07,3841.4700000000003,-0.013744045069252451
2021-01-20,39.119999,39.360001,-0.006097611633698814,3851.8500000000004,3853.07,3841.4700000000003,3855.36,-3.166306347924642e-4
2021-01-21,43.029999,39.119999,0.09994887781055405,3853.07,3841.4700000000003,3855.36,3849.62,0.0030196773630927504
2021-01-22,65.010002,43.029999,0.5108064957194167,3841.4700000000003,3855.36,3849.62,3750.77,-0.0036027763944222776
2021-01-25,76.790001,65.010002,0.18120287090592618,3855.36,3849.62,3750.77,3787.38,0.0014910562600984607
2021-01-26,147.979996,76.790001,0.9270737605537991,3849.62,3750.77,3787.38,3714.24,0.026354588524489613
2021-01-27,347.51001,147.979996,1.3483580172552514,3750.77,3787.38,3714.24,3773.86,-0.009666312860077448
2021-01-28,193.600006,347.51001,-0.44289372844252745,3787.38,3714.24,3773.86,3826.3100000000004,0.019691780821917897
2021-01-29,325,193.600006,0.6787189562380488,3714.24,3773.86,3826.3100000000004,3830.17,-0.01579814831498793
2021-02-01,225,325,-0.3076923076923077,3773.86,3826.3100000000004,3830.17,3871.74,-0.013707723629293045
2021-02-02,90,225,-0.6,3826.3100000000004,3830.17,3871.74,3886.8300000000004,-0.0010077881660604288
2021-02-03,92.410004,90,0.02677782222222223,3830.17,3871.74,3886.8300000000004,3915.59,-0.01073677468011791
2021-02-04,53.5,92.410004,-0.4210583520805821,3871.74,3886.8300000000004,3915.59,3911.23,-0.0038823411366076207
2021-02-05,63.77,53.5,0.19196261682242996,3886.8300000000004,3915.59,3911.23,3909.88,-0.007344997816420964
2021-02-08,60,63.77,-0.05911870785635884,3915.59,3911.23,3909.88,3916.38,0.0011147388417454681
2021-02-09,50.310001,60,-0.16149998333333335,3911.23,3909.88,3916.38,3934.8300000000004,3.452791390016852e-4
2021-02-10,51.200001,50.310001,0.017690319664275114,3909.88,3916.38,3934.8300000000004,3932.59,-0.0016596959437031136
2021-02-11,51.099998,51.200001,-0.0019531835556019024,3916.38,3934.8300000000004,3932.59,3931.3300000000004,-0.004688893802273611
2021-02-12,52.400002,51.099998,0.025440392385142584,3934.8300000000004,3932.59,3931.3300000000004,3913.9700000000003,5.695991700126981e-4
2021-02-16,49.509998,52.400002,-0.05515274598653636,3932.59,3931.3300000000004,3913.9700000000003,3906.71,3.205022218943114e-4
2021-02-17,45.939999,49.509998,-0.07210662783706843,3931.3300000000004,3913.9700000000003,3906.71,3876.5,0.00443539424165237
2021-02-18,40.689999,45.939999,-0.11427949748105132,3913.9700000000003,3906.71,3876.5,3881.3700000000003,0.0018583411617448488
2021-02-19,40.59,40.689999,-0.002457581775806798,3906.71,3876.5,3881.3700000000003,3925.4300000000003,0.007793112343608935
2021-02-22,46,40.59,0.1332840601133283,3876.5,3881.3700000000003,3925.4300000000003,3829.34,-0.0012547116095606306
2021-02-23,44.970001,46,-0.02239128260869558,3881.3700000000003,3925.4300000000003,3829.34,3811.15,-0.0112242480441633
2021-02-24,91.709999,44.970001,1.039359505462319,3925.4300000000003,3829.34,3811.15,3901.82,0.025093096982769913
2021-02-25,108.730003,91.709999,0.18558504182297506,3829.34,3811.15,3901.82,3870.29,0.004772837594951669
2021-02-26,101.739998,108.730003,-0.06428772930319883,3811.15,3901.82,3870.29,3819.72,-0.023237873607701038
2021-03-01,120.400002,101.739998,0.18340873173596878,3901.82,3870.29,3819.72,3768.4700000000003,0.008146676347250517
2021-03-02,118.18,120.400002,-0.018438554510987415,3870.29,3819.72,3768.4700000000003,3841.94,0.013239190307142976
2021-03-03,124.18,118.18,0.050770011846336095,3819.72,3768.4700000000003,3841.94,3821.3500000000004,0.013599683691259195
2021-03-04,132.350006,124.18,0.06579164116604928,3768.4700000000003,3841.94,3821.3500000000004,3875.44,-0.01912315132459117
2021-03-05,137.740005,132.350006,0.04072534005023006,3841.94,3821.3500000000004,3875.44,3898.8100000000004,0.005388148167532335
2021-03-08,194.5,137.740005,0.41208068055464353,3821.3500000000004,3875.44,3898.8100000000004,3939.34,-0.01395712486840196
2021-03-09,246.899994,194.5,0.2694087095115681,3875.44,3898.8100000000004,3939.34,3943.34,-0.005994136672471945
2021-03-10,265,246.899994,0.07330905807960453,3898.8100000000004,3939.34,3943.34,3968.94,-0.010288525489041246
